id,post_id,author_handle,content_text,fetched_at
tt_7645537329968336135_7645686982526747400,tt_7645537329968336135,ghientaoha,50k tim lập nhóm chỉ lun,1781335838
tt_7645537329968336135_7645644597088371474,tt_7645537329968336135,kietnek568123,k lập đc tk ngân hàng luôn 😭 bất lực,1781335838
tt_7645537329968336135_7645701970690704149,tt_7645537329968336135,phamtu29066,có ngân hàng r t dùng Zalo pay lmj nx,1781335838
tt_7645537329968336135_7646244723842646804,tt_7645537329968336135,1000891307204.lov,mấy bà vào zalopay mini app trong zalo bank dc bth á.,1781335838
tt_7645537329968336135_7645639394905817863,tt_7645537329968336135,_baokhanh2_,Ib t chỉ 🥰,1781335838
tt_7645537329968336135_7646824852824916743,tt_7645537329968336135,zlpaii23,Tui chỉ cho Free nè,1781335838
tt_7645537329968336135_7645660320509756181,tt_7645537329968336135,dieuthu_011,mb bank mà lập nè,1781335838
tt_7645537329968336135_7649320247054762760,tt_7645537329968336135,h0phjhugf,giờ chuyển dc bth r nhé,1781335838
tt_7645537329968336135_7645709288560247559,tt_7645537329968336135,nq_th23,ib t chỉ,1781335838
tt_7645537329968336135_7645665797583356679,tt_7645537329968336135,malai.12,ib tui chỉ,1781335838
tt_7645537329968336135_7646216234002711303,tt_7645537329968336135,ctew214,ibb 1s rep😳,1781335838
tt_7645537329968336135_7645646731643863809,tt_7645537329968336135,user3b23p8h41c,Ai chỉ tuii với 😳🥲,1781335838
tt_7645537329968336135_7645674355691291399,tt_7645537329968336135,bdd684,500k của tao,1781335838
tt_7645537329968336135_7645673827237823253,tt_7645537329968336135,dqnhu01th08,cay vlin,1781335838
tt_7645537329968336135_7647361462680339220,tt_7645537329968336135,anklahieulouis,hết cần lk r mấy ní oi,1781335838
tt_7645537329968336135_7646273727664243477,tt_7645537329968336135,trami07_,cứu với🙂🙂🙂,1781335838
tt_7645537329968336135_7645647643201553160,tt_7645537329968336135,vybbiiu,ib t chỉ,1781335838
tt_7645537329968336135_7645668471272964882,tt_7645537329968336135,dclmmcchooc00,ib tui chỉ,1781335838
tt_7645537329968336135_7645699351562240784,tt_7645537329968336135,diem082009,để mình chỉ cho,1781335838
tt_7645537329968336135_7645917173198521095,tt_7645537329968336135,hoangtuthanhhoaa,ib t chỉ,1781335838
tt_7645613073788701973_7645620034832761621,tt_7645613073788701973,bum.120,mik k có ngân hàng khác r sao,1781335838
tt_7645613073788701973_7650445141387494151,tt_7645613073788701973,username946918997,Nó bảo như thế mà mình ko thanh lý lm sao ko,1781335838
tt_7645613073788701973_7645690080510690049,tt_7645613073788701973,sauju_0,dùng hết lượt thanh lý sd thì sao ạ😭,1781335838
tt_7645613073788701973_7645883336812315399,tt_7645613073788701973,22_11pa,TRÁNH XA CON NÀY nhtrang_12 MỌI NGƯỜI CÓ THỂ VÀO TRANG EM COI SỰ THẬT,1781335838
tt_7645613073788701973_7646997741068026645,tt_7645613073788701973,ankkhoadzvkl,Ib t chỉ hết🥰,1781335838
tt_7645613073788701973_7648977531768963858,tt_7645613073788701973,iudauoii_011,quan trọng k ạ?,1781335838
tt_7645613073788701973_7646013198873936658,tt_7645613073788701973,zhinna06,mình k liên kết ngân hàng dc r sao lấy tiền zalo đây mn,1781335838
tt_7645613073788701973_7645728899095970581,tt_7645613073788701973,khengdaynehehe,Mấy th ngu đừng tin mấy quả ib t chỉ này nọ nha thanh lý vô tk nó đớp hết,1781335838
tt_7645613073788701973_7645735584732775176,tt_7645613073788701973,cammemm1920,ib t chỉ,1781335838
tt_7645613073788701973_7645712680254653204,tt_7645613073788701973,....828281,ib ạ,1781335838
tt_7645613073788701973_7645735440011805457,tt_7645613073788701973,n_._m.__.__t___ff,chỉ mik với,1781335838
tt_7645613073788701973_7646333110858122002,tt_7645613073788701973,nghnkkk11,ai làm như trên r có đk mng☺️☺️,1781335838
tt_7645613073788701973_7646041737123529489,tt_7645613073788701973,khongvuicuoihoai,vẫn kh ck đc,1781335838
tt_7645613073788701973_7645830881181598485,tt_7645613073788701973,luongthuy805,ko nhớ mk thì s cứu vs,1781335838
tt_7645613073788701973_7645860012393530120,tt_7645613073788701973,yeumichaelandvlad,bấm vào đâu ạ,1781335838
tt_7645613073788701973_7645984160473563911,tt_7645613073788701973,carott501,ụa làm sao kím dc cái thanh lí vạiiii tui hg có,1781335838
tt_7645613073788701973_7646031053467042578,tt_7645613073788701973,cailoncommem,xh r chị ơi,1781335838
tt_7645613073788701973_7645877639839974165,tt_7645613073788701973,nga1004.9,Chỉ tôi với,1781335838
tt_7645613073788701973_7646097426637701906,tt_7645613073788701973,guon_conai0,Chỉ với a😭🙏,1781335838
tt_7646962113801506068_7647106557010002695,tt_7646962113801506068,khnh.bng5557,xác thực ni lâu ko bạn,1781335838
tt_7646962113801506068_7647102817409090312,tt_7646962113801506068,hoalun911,heopy,1781335838
tt_7646962113801506068_7646984538166821640,tt_7646962113801506068,n..th0,ib ạ,1781335838
tt_7646962113801506068_7647158788324262664,tt_7646962113801506068,trunghieuxd4,dễ lắm phí 2k ạ,1781335838
tt_7646962113801506068_7647130861539722002,tt_7646962113801506068,ngc.trm6730,ib ạ,1781335838
tt_7646962113801506068_7647102711972692743,tt_7646962113801506068,hoalun911,zalopay của em cần xác thực 😭,1781335838
tt_7646266971486522645_7646293954412970759,tt_7646266971486522645,k18cu20cm,chỉ em với ạ,1781335838
tt_7646266971486522645_7647900082797331207,tt_7646266971486522645,nn.hanz,chỉ e vs ạ,1781335838
tt_7646266971486522645_7646390417868915473,tt_7646266971486522645,dtwg_nolove014,cái này dễ mà 2p xong,1781335838
tt_7644371206308629767_7645615455893422866,tt_7644371206308629767,traidep010,chỉ tui vs,1781335838
tt_7644371206308629767_7645532337522148117,tt_7644371206308629767,yeuat4,Ib này,1781335838
tt_7644371206308629767_7645589570583053064,tt_7644371206308629767,bow457688,chỉ e với ạ,1781335838
tt_7644371206308629767_7645583960533173000,tt_7644371206308629767,hue031210,chỉ mình với,1781335838
tt_7644371206308629767_7645588882231444244,tt_7644371206308629767,user_toahvna,ib mình chỉ nhé,1781335838
tt_7644371206308629767_7644822280161346322,tt_7644371206308629767,betgeam,chỉ với ạ,1781335838
tt_7644371206308629767_7646018970626212615,tt_7644371206308629767,no_money_no_em1,ib chỉ nhớ phải fl,1781335838
tt_7644371206308629767_7646320930952921873,tt_7644371206308629767,tuankiet809_,ib tui,1781335838
tt_7644371206308629767_7645676911435481863,tt_7644371206308629767,nhtrang_12,Ib t chỉ,1781335838
tt_7644371206308629767_7645602288574595860,tt_7644371206308629767,chemcheo0000,Ai lm ib,1781335838
tt_7644371206308629767_7646831513611289362,tt_7644371206308629767,tapsongan22,Ib mình chỉ ạ nhanh lắm @neubat,1781335838
tt_7650147445925596434_7650155861484585749,tt_7650147445925596434,vt.tuyen36,chị ơi em chưa liên kết tk ngân hàng cs chuyển tiền đc ko ạ,1781335838
tt_7650147445925596434_7650386651889484562,tt_7650147445925596434,.trung_nguyen,thề sau này không giám vào zalo pay lần nào ck 3 m cũng trừ 25 k phí,1781335838
tt_7650147445925596434_7650354889843311380,tt_7650147445925596434,np19022,zalo oi sao e chưa nhận đc tiền,1781335838
tt_7650147445925596434_7650210973373989652,tt_7650147445925596434,_.khanh.hoang_,Tạo tài khoản zalopay nhưng không sử dụng có gây ảnh hưởng gì tới tk zalo k ạ,1781335838
tt_7650147445925596434_7650291046535267092,tt_7650147445925596434,duyvquy,🥰,1781335838
tt_7646326280383679764_7646567159933846273,tt_7646326280383679764,kim.anh7759,Có tài khoản Zalo là mở được Zalopay đúng không,1781335838
tt_7646326280383679764_7648864148431962897,tt_7646326280383679764,h_anh691,liên kết ngân hàng làm như nào chỉ với,1781335838
tt_7646326280383679764_7646604148423394064,tt_7646326280383679764,hainga136,thanh toán nhanh gọn ko nhầm tiền lun,1781335838
tt_7646326280383679764_7646604147169575688,tt_7646326280383679764,phanthimyduyen_0809,Nay có app quyét tiện thật,1781335838
tt_7646326280383679764_7646467896042210064,tt_7646326280383679764,gia.mn625,Thấy nhiều bà tin dùng,1781335838
tt_7646326280383679764_7646602950818939669,tt_7646326280383679764,meodthh_,Thấy tiện nha c ui,1781335838
tt_7646326280383679764_7646446552597660437,tt_7646326280383679764,baomanhanh2333,Nhìn bà siêng quá đi,1781335838
tt_7646326280383679764_7646619638813852437,tt_7646326280383679764,dinhthuytrang21,Ui quá ngon nek,1781335838
tt_7646326280383679764_7646447406675854101,tt_7646326280383679764,huyenanh_xinhgai,Để tối về cũng siêng giống bà,1781335838
tt_7646326280383679764_7646525597401940757,tt_7646326280383679764,hmk75451pbr,giờ đi chợ quê quét mac cũng dễ,1781335838
tt_7646326280383679764_7646465113680216840,tt_7646326280383679764,ngocx53,Chuyển khoản dễ dàng c ha,1781335838
tt_7646326280383679764_7646639359499797255,tt_7646326280383679764,cm.nh.m.n,để mình tham khảo mới được,1781335838
tt_7646326280383679764_7646470654879466260,tt_7646326280383679764,bongbygp67w,em tìm hiểu thử nào,1781335838
tt_7646326280383679764_7646598088593539860,tt_7646326280383679764,kieu135ng,Dùng zlp tính phí ko?,1781335838
tt_7646326280383679764_7646604372487062292,tt_7646326280383679764,subin_2022_,Thanh toán bên này tiện lợi,1781335838
tt_7646326280383679764_7646464733995221781,tt_7646326280383679764,hoangvixfau,Sử dụng có gì khác so với ngân hàng không à,1781335838
tt_7646326280383679764_7646570437648679700,tt_7646326280383679764,bng17653,con được hoàn tiền lại đấy bann,1781335838
tt_7646326280383679764_7646478911056298770,tt_7646326280383679764,giang.ci052,E giờ đi chợ cầm mỗi cái đt,1781335838
tt_7646326280383679764_7646462843815314197,tt_7646326280383679764,an.chi445,em chưa dùng bao giờ đâu ấy,1781335838
tt_7646326280383679764_7646529169367155477,tt_7646326280383679764,mai.mo798,có ưu đãi gì khi dùng k ạ,1781335838
tt_7640412082533305607_7644075476101382930,tt_7640412082533305607,bunzju,hd voi,1781335838
tt_7640412082533305607_7645696381866115848,tt_7640412082533305607,vx.linwr,Ib tuii chỉ cho ạ,1781335838
tt_7640412082533305607_7647737211815527169,tt_7640412082533305607,xhhophat,xin đồng với còn 0k 😞😞😂😂,1781335838
tt_7640412082533305607_7641104961409499905,tt_7640412082533305607,trongbao20000,Chỉ em chj ơi,1781335838
tt_7640412082533305607_7646010345328296722,tt_7640412082533305607,19_3_2014_,Ib mình chỉ,1781335838
tt_7640412082533305607_7645582295143596820,tt_7640412082533305607,baoangg3,Ib chỉ,1781335838
tt_7207488183611788571_7323010671477654274,tt_7207488183611788571,ng_lownef,chỉ em vs ạ,1781335838
tt_7207488183611788571_7222244826523616026,tt_7207488183611788571,gocnhodangsuanha,ai cần ib mik hd,1781335838
tt_7207488183611788571_7253655693672334086,tt_7207488183611788571,hngan_5709,Chỉ e và,1781335838
tt_7207488183611788571_7268661433461654277,tt_7207488183611788571,sundangsuy_,chỉ vs ạ,1781335838
